platform,title,channel,published_at,public_view_count,checked_at_utc,canonical_url,topic,primary_hook,inclusion_reason,verification_surface
YouTube,아직 체크인 비용 내신다구요?! 이젠 캐리온으로 가져가세요. 프로필 클릭 후에 링크 눌러주시면 구매 가능! #가방 #백팩 #배낭,벡스 | 대한민국 대표 진공백팩,2025-09-09T05:16:22Z,6520920,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=GSJewbrT65U,미니멀 여행,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,참지 않는 K여친 #한일커플 #도쿄브이로그 #일본브이로그 #일본여행 #일상브이로그,히씨 HeeSee,2025-06-13T14:23:41Z,19964266,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=H85ojZSV9lM,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,신혼여행 현실 feat.반신욕 #우유커플 #발리,우유커플 Milk_couple,2023-12-21T10:00:33Z,23442076,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=dgOPygpRYGw,신혼여행,E 기대 vs 실제 / 실수·수정,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,요즘 유행하는 여행영상 단둘이 기록하는 방법 3탄👭,채또루,2025-03-14T13:45:40Z,18845047,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=TkVPcHnqOgg,여행 기록,H 기록 방식 / 남긴 것,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,영혼없는 공항직원,전핑콩,2025-03-26T04:30:20Z,10404909,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=7U-snnwvt_U,여행 준비/짐,J 특정 상황의 실행 팁,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,일본인 아내와 5살 아이와 걸어서만 홋카이도를 여행해봤습니다,YUKA-CHANNEL,2025-03-04T10:00:49Z,24871891,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=g9TXLAbc-1Q,여행 후기/장면,C 숫자·기간·규모 대비,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,해외 한달살기의 치명적인 단점,월터씨 walterC,2024-06-02T11:59:04Z,1967139,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=YUH1-RamePY,장기여행/한달살기,E 기대 vs 실제 / 실수·수정,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,후쿠오카 첫날부터 캐리어없이 바로 여행 다니는 핵꿀팁!! #후쿠오카여행 #후쿠오카꿀팁 #델리백,폭싹먹었수다,2025-09-17T08:23:22Z,815141,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=oyv3ayppVBY,미니멀 여행,D 비용·짐·동선 절감,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,호주여행중 인종차별 당한 한국 커플,딱다구리,2025-08-15T01:00:44Z,7793289,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=hp_Vd0UMeno,부부 여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
YouTube,신혼여행 장소가 의미없는 이유,예능부장,2025-05-20T02:00:18Z,17091251,2026-08-27T10:28:06Z,https://www.youtube.com/watch?v=JzTz6swiEag,신혼여행,F 관계의 마찰·합의,YouTube Data API videos.list에서 snippet.publishedAt과 statistics.viewCount가 동시에 확인됨,"YouTube Data API videos.list(part=snippet,statistics)"
