channel,channel_id,video_id,title,published_at_utc,public_view_count,retrieved_at_utc,canonical_url,source
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,PQhl0wxP4Ro,전세돈 빼서 헝가리에 집을 산... 2년 그 이후 / 플펭 세계여행,2025-09-08T00:00:32Z,249482,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=PQhl0wxP4Ro,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,MMWht2iTccE,전세돈 빼서 헝가리에 집 사러 갑니다 /유럽살이 하는 파이어족 부부 세계여행,2023-10-12T06:00:11Z,189657,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=MMWht2iTccE,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,b70fZeihLrE,"무너지고 있는 유럽으로 이사 온 우리, 유럽살이 희망은 없는가 / 플펭 부부 유럽살이, 헝가리",2024-10-12T18:00:17Z,137880,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=b70fZeihLrE,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,5nu7A3T3mOo,"유럽, 한국 관광객이 사라졌다 / 플펭 유럽살이, 헝가리, 부다페스트",2025-10-30T00:00:15Z,104733,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=5nu7A3T3mOo,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,ZGVNAIn3ciM,직접 살아본 치앙마이 숙소의 모든 것 [시칠리안 태국15]_초성수기 한달살기 숙소 구하기,2023-01-29T02:30:25Z,491952,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=ZGVNAIn3ciM,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,qaARYPJqoYI,불경기에 현실감 없이 여행하며 사는 부부의 발리 우붓 일상 [시칠리안 인도네시아 02],2023-04-16T01:45:01Z,459938,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=qaARYPJqoYI,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,k8QF6TVoWWU,태국 교복입고 치앙마이 대학교 신입생 되어보기 [시칠리안 태국10]_캠퍼스 데이트,2022-12-18T07:00:12Z,389493,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=k8QF6TVoWWU,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,C-EmuShSGkY,더 이상 예전같지 않은 발리의 놀라운 현재 상황,2025-05-11T00:00:09Z,346878,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=C-EmuShSGkY,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,FP6hUKtTYlU,비치클럽 vip보다 노을 하나에 더 행복한 발리 짱구 일상[시칠리안 인도네시아 03],2023-04-23T03:15:00Z,340954,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=FP6hUKtTYlU,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,pBI7HvgKbg0,코스 요리가 무제한!! 전 세계 딱 하나 뿐인 하와이 크루즈 7박8일 탑승기,2025-07-13T00:00:51Z,313846,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=pBI7HvgKbg0,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,vBbmg0cQjxc,숨만 쉬어도 돈이 나간다는 하와이 여행의 충격적인 하루 경비 공개,2025-08-03T00:01:03Z,309417,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=vBbmg0cQjxc,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,RvXofhMxpb0,1800원짜리 미슐랭 맛집 / 방콕 최신 핫플 차이나타운 야시장 [시칠리안 태국 20],2023-03-05T02:00:08Z,299162,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=RvXofhMxpb0,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,Pj7FC-6WS8w,물 속에 들어가야 행복한 발리 옆 작은 섬 길리 여행 [시칠리안 인도네시아 09],2023-06-04T06:15:12Z,280072,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=Pj7FC-6WS8w,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,CRqjECsK3k4,요즘 한국인들에게 난리난 여행지 푸꾸옥의 현실,2024-11-03T01:00:06Z,258944,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=CRqjECsK3k4,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,GK6AF68408o,여기 한국맞아? 나만 알고 싶은 제주도 비밀 물놀이 스팟 공개합니다,2024-08-11T00:00:12Z,257825,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=GK6AF68408o,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,AV6R0uYl3Y4,치앙마이에서 태국 전통의상 입고 올드타운 누비기 [시칠리안 태국14],2023-01-22T12:45:00Z,257803,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=AV6R0uYl3Y4,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,g2XIVonk9U4,우리 부부가 안정적인 삶을 포기하고 잘나가는 직장을 그만둔 진짜 이유,2025-09-28T00:01:00Z,254370,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=g2XIVonk9U4,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,vz5Ltprfh4I,"발리보다 더 좋다는, 한국인만 모르는 미지의 섬",2025-05-18T00:01:03Z,251876,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=vz5Ltprfh4I,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,-s6KhZfdVVQ,"한국에서 가장 가까운 최고의 휴양지, 가족여행은 그냥 여기로 가세요!",2026-03-15T01:00:00Z,237288,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=-s6KhZfdVVQ,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,xOCSFw7drDY,오로지 쇼핑하러 떠난 풀소유 부부의 1박2일 후쿠오카 쇼핑 리스트,2025-10-26T00:01:09Z,229836,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=xOCSFw7drDY,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,skuN5U-8NBo,"오버투어리즘, 소매치기, 높은 물가로 혼란스럽다는 로마 최신 근황",2026-06-21T01:00:22Z,225897,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=skuN5U-8NBo,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,1t9lki568cQ,유튜브 수익 적자인 부부가 세계여행을 계속 할 수 있는 이유 [상해 02],2023-11-05T01:15:20Z,225068,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=1t9lki568cQ,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,0PbuYOqB0qQ,스위스보다 이탈리아 돌로미티를 가야하는 확실한 이유,2025-06-15T00:00:01Z,222395,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=0PbuYOqB0qQ,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,K-BB1r4SnVo,먹고 자고 하루 35만원에 모든게 포함?!! 미친 물가 하와이를 가장 저렴하게 여행하는 방법 [몰아보기],2026-01-11T01:00:34Z,220477,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=K-BB1r4SnVo,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,q2lA3oH2CHI,세계여행 중 처음으로 평생 눌러 살고 싶은 도시가 생겼어요,2024-09-29T00:00:34Z,218314,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=q2lA3oH2CHI,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)"
