channel,channel_id,video_id,title,published_at_utc,public_view_count,retrieved_at_utc,canonical_url,source,reason
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,AhGZm5K6Q-I,헝가리 만랩이 알려주는 부다페스트 여행 팁  / 헝가리 살이 플펭 부부의 세계여행,2024-03-17T06:00:03Z,90114,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=AhGZm5K6Q-I,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,yMKF1qROtyE,"여기 살면 100살까지 살 것 같아요. 모든 것이 충분한 리가 , 라트비아 / 플펭 세계 살이 유럽여행",2024-10-06T01:00:36Z,89651,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=yMKF1qROtyE,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,ykK80rePVsU,유럽 실거주 6개월에 느끼는 한국인이 유럽 살기 힘든 진짜 이유 / 유럽 살이 플펭의 세계여행,2024-05-26T06:00:33Z,87508,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=ykK80rePVsU,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,_kElbd9zGWE,유럽 생활 2년째.. 그래서 뭐 먹고 사냐고? / 플펭 세계살이 / 헝가리 부다페스트,2025-09-14T00:00:53Z,83089,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=_kElbd9zGWE,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,w-LgOWdHTRM,3년간 여행만 다닌 부부의 통장 잔고 / 부다페스트 한달살기 / 파이어족 세계여행,2023-10-04T07:19:26Z,80608,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=w-LgOWdHTRM,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,JGmPR1ULgy4,내가 부다페스트에 집을 사려는 이유 ? / 렌트 수익률과 관리 비용 이야기,2023-10-19T06:00:05Z,77847,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=JGmPR1ULgy4,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,3FlpTK9B-Xg,"긴급 점검하는 재정상태, 이렇게 먹고 살고 있어요 / 헝가리 살이하는 부부의 세계여행",2024-03-03T06:01:56Z,73073,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=3FlpTK9B-Xg,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,IFxmaU05ht8,한달만에 집 처분하고 부다페스트로 가는 이유 / 플펭의 유럽살이 세계여행,2024-03-31T06:00:07Z,70673,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=IFxmaU05ht8,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,fglrq3AbOOA,서울 지옥철을 씹어먹는 최고 난이도 국경 퇴근전쟁_ 말레이시아 조호르바루 / 플펭,2025-02-09T00:00:26Z,61522,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=fglrq3AbOOA,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
플팽부부,UCsEfn-G__mrwWwhw2cZKu6Q,HqGAUIYTiU4,할수록 마이너스인 유럽생활 주식 대폭락의 시대,2024-08-07T06:00:09Z,57219,2026-08-28T21:06:41Z,https://www.youtube.com/watch?v=HqGAUIYTiU4,"YouTube Data API search.list(order=viewCount,channelId)->videos.list(snippet,statistics)",below_100000_or_missing_required_field
