channel,channel_id,video_id,title,published_at_utc,public_view_count,retrieved_at_utc,canonical_url,source
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,Dg4a6_kZfEo,"여기는 100% 뜬다!! 미친 물가와 맛집이 넘쳐나는 가성비 휴양지 공개합니다",2026-08-23T01:00:40+00:00,126099,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=Dg4a6_kZfEo,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,REvB_KJ47wI,"여기가 진짜 베트남이다.. 정신 똑바로 차려야 살아남는 하노이 탐방기",2026-08-16T01:00:12+00:00,169637,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=REvB_KJ47wI,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,6LSKhLsxRmY,"아직도 우붓, 짱구 가세요? 요즘엔 다 여기로 갑니다!!",2026-08-09T01:00:30+00:00,148255,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=6LSKhLsxRmY,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,fDNwFOfyaak,"한국인 90%가 알고 있지만 가기 힘들어서 포기한다는 미지의 섬 여행기",2026-08-02T01:00:21+00:00,130649,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=fDNwFOfyaak,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,8q0ZZ-9arwQ,"여기 길리 맞아..? 놀랍도록 변해버린 발리 옆 길리섬 최신 근황",2026-07-26T01:00:00+00:00,170465,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=8q0ZZ-9arwQ,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,fLFtw2LLcqI,"불안한 치안, 소매치기로 악명 높다는 바르셀로나 최신 근황",2026-07-12T01:00:17+00:00,151100,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=fLFtw2LLcqI,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,DzBozwIxJRo,"하루 30만원에 모든게 포함??! 가성비 유럽 크루즈 여행의 이상과 현실",2026-07-05T01:00:19+00:00,143428,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=DzBozwIxJRo,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,T2oE3OKaSN8,"한국인만 비싸다고 오해하는 여행 1위, 대반전 크루즈 여행 경비 공개",2026-06-28T01:00:27+00:00,180755,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=T2oE3OKaSN8,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,skuN5U-8NBo,"오버투어리즘, 소매치기, 높은 물가로 혼란스럽다는 로마 최신 근황",2026-06-21T01:00:22+00:00,225897,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=skuN5U-8NBo,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
시칠리안 SICILIAN,UCchu6XLsbV9PISj5b7XArQA,kyGDuaJadVY,"한국인들이 일하러 왔다가 눌러 앉는다는 이 곳, 이민을 간다면 바로 여기다! [호주 몰아보기]",2026-06-14T01:00:26+00:00,132503,2026-08-28T19:29:52Z,https://www.youtube.com/watch?v=kyGDuaJadVY,https://www.youtube.com/feeds/videos.xml?channel_id=UCchu6XLsbV9PISj5b7XArQA
